Name;URL;Codename;Cores;Clock;Socket;Process;L3 Cache;TDP;Released;Vendor
Core i7-13705H;/cpu-specs/core-i7-13705h.c3051;Raptor Lake-H;14  / 20;2.4 to 5 GHz;BGA 1744;10 nm;24 MB;45 W;Jan 4th, 2023;Intel
Core i7-1370P;/cpu-specs/core-i7-1370p.c3055;Raptor Lake-P;14  / 20;1.9 to 5.2 GHz;BGA 1744;10 nm;24 MB;28 W;Jan 4th, 2023;Intel
Core i7-1375PRE;/cpu-specs/core-i7-1375pre.c3594;Raptor Lake-P;14  / 20;1.9 to 4.8 GHz;BGA 1744;10 nm;24 MB;28 W;Jan 4th, 2023;Intel
Core i7-13790F;/cpu-specs/core-i7-13790f.c3096;Raptor Lake-S;16  / 24;2.1 to 5.2 GHz;Socket 1700;10 nm;33 MB;65 W;Feb 10th, 2023;Intel
Core i7-13800H;/cpu-specs/core-i7-13800h.c3050;Raptor Lake-H;14  / 20;2.5 to 5.2 GHz;BGA 1744;10 nm;24 MB;45 W;Jan 4th, 2023;Intel
Core i7-13850HX;/cpu-specs/core-i7-13850hx.c3019;Raptor Lake-HX;20  / 28;2.1 to 5.3 GHz;BGA 1964;10 nm;30 MB;55 W;Jan 4th, 2023;Intel
Core i7-14700K;/cpu-specs/core-i7-14700k.c3268;Raptor Lake-R;20  / 28;3.4 to 5.6 GHz;Socket 1700;10 nm;33 MB;125 W;Oct 17th, 2023;Intel
Core i7-14700KF;/cpu-specs/core-i7-14700kf.c3311;Raptor Lake-R;20  / 28;3.4 to 5.6 GHz;Socket 1700;10 nm;33 MB;125 W;Oct 17th, 2023;Intel
Core i9-13900;/cpu-specs/core-i9-13900.c2854;Raptor Lake-S;24  / 32;2 to 5.6 GHz;Socket 1700;10 nm;36 MB;65 W;Jan 4th, 2023;Intel
Core i9-13900E;/cpu-specs/core-i9-13900e.c3082;Raptor Lake-S;24  / 32;1.8 to 5.2 GHz;Socket 1700;10 nm;36 MB;65 W;Jan 4th, 2023;Intel
Core i9-13900F;/cpu-specs/core-i9-13900f.c2997;Raptor Lake-S;24  / 32;2 to 5.6 GHz;Socket 1700;10 nm;36 MB;65 W;Jan 4th, 2023;Intel
Core i9-13900H;/cpu-specs/core-i9-13900h.c3048;Raptor Lake-H;14  / 20;2.6 to 5.4 GHz;BGA 1744;10 nm;24 MB;45 W;Jan 4th, 2023;Intel
Core i9-13900HK;/cpu-specs/core-i9-13900hk.c3047;Raptor Lake-H;14  / 20;2.6 to 5.4 GHz;BGA 1744;10 nm;24 MB;45 W;Jan 4th, 2023;Intel
Core i9-13900HX;/cpu-specs/core-i9-13900hx.c3018;Raptor Lake-HX;24  / 32;2.2 to 5.4 GHz;BGA 1964;10 nm;36 MB;55 W;Jan 4th, 2023;Intel
Core i9-13900KS;/cpu-specs/core-i9-13900ks.c2956;Raptor Lake-S;24  / 32;3.2 to 6 GHz;Socket 1700;10 nm;36 MB;150 W;Jan 12th, 2023;Intel
Core i9-13900T;/cpu-specs/core-i9-13900t.c3001;Raptor Lake-S;24  / 32;1.1 to 5.3 GHz;Socket 1700;10 nm;36 MB;35 W;Jan 4th, 2023;Intel
Core i9-13900TE;/cpu-specs/core-i9-13900te.c3083;Raptor Lake-S;24  / 32;1 to 5 GHz;Socket 1700;10 nm;36 MB;35 W;Jan 4th, 2023;Intel
Core i9-13905H;/cpu-specs/core-i9-13905h.c3049;Raptor Lake-H;14  / 20;2.6 to 5.4 GHz;BGA 1744;10 nm;24 MB;45 W;Jan 4th, 2023;Intel
Core i9-13950HX;/cpu-specs/core-i9-13950hx.c3017;Raptor Lake-HX;24  / 32;2.2 to 5.5 GHz;BGA 1964;10 nm;36 MB;55 W;Jan 4th, 2023;Intel
Core i9-13980HX;/cpu-specs/core-i9-13980hx.c3016;Raptor Lake-HX;24  / 32;2.2 to 5.6 GHz;BGA 1964;10 nm;36 MB;55 W;Jan 4th, 2023;Intel
Core i9-14900K;/cpu-specs/core-i9-14900k.c3269;Raptor Lake-R;24  / 32;3.2 to 6 GHz;Socket 1700;10 nm;36 MB;125 W;Oct 17th, 2023;Intel
Core i9-14900KF;/cpu-specs/core-i9-14900kf.c3310;Raptor Lake-R;24  / 32;3.2 to 6 GHz;Socket 1700;10 nm;36 MB;125 W;Oct 17th, 2023;Intel
Xeon E-2414;/cpu-specs/xeon-e-2414.c3477;Raptor Lake-S;4 ;2.6 to 4.5 GHz;Socket 1700;10 nm;12 MB;55 W;Dec 14th, 2023;Intel
Xeon E-2434;/cpu-specs/xeon-e-2434.c3478;Raptor Lake-S;4  / 8;3.4 to 5 GHz;Socket 1700;10 nm;12 MB;55 W;Dec 14th, 2023;Intel
Xeon E-2436;/cpu-specs/xeon-e-2436.c3479;Raptor Lake-S;6  / 12;2.9 to 5 GHz;Socket 1700;10 nm;18 MB;65 W;Dec 14th, 2023;Intel
Xeon E-2456;/cpu-specs/xeon-e-2456.c3480;Raptor Lake-S;6  / 12;3.3 to 5.1 GHz;Socket 1700;10 nm;18 MB;80 W;Dec 14th, 2023;Intel
Xeon E-2468;/cpu-specs/xeon-e-2468.c3484;Raptor Lake-S;8  / 16;2.6 to 5.2 GHz;Socket 1700;10 nm;24 MB;65 W;Dec 14th, 2023;Intel
Xeon E-2478;/cpu-specs/xeon-e-2478.c3482;Raptor Lake-S;8  / 16;2.8 to 5.2 GHz;Socket 1700;10 nm;24 MB;80 W;Dec 14th, 2023;Intel
Xeon E-2486;/cpu-specs/xeon-e-2486.c3481;Raptor Lake-S;6  / 12;3.5 to 5.6 GHz;Socket 1700;10 nm;18 MB;95 W;Dec 14th, 2023;Intel
Xeon E-2488;/cpu-specs/xeon-e-2488.c3483;Raptor Lake-S;8  / 16;3.2 to 5.6 GHz;Socket 1700;10 nm;24 MB;95 W;Dec 14th, 2023;Intel
Xeon w3-2423;/cpu-specs/xeon-w3-2423.c3120;Sapphire Rapids;6  / 12;2.1 to 4.2 GHz;Socket 4677;10 nm;15 MB;120 W;Feb 15th, 2023;Intel
Xeon w3-2425;/cpu-specs/xeon-w3-2425.c3119;Sapphire Rapids;6  / 12;3 to 4.4 GHz;Socket 4677;10 nm;15 MB;130 W;Feb 15th, 2023;Intel
Xeon w3-2435;/cpu-specs/xeon-w3-2435.c3118;Sapphire Rapids;8  / 16;3.1 to 4.5 GHz;Socket 4677;10 nm;22.5 MB;165 W;Feb 15th, 2023;Intel
Xeon w5-2445;/cpu-specs/xeon-w5-2445.c3117;Sapphire Rapids;10  / 20;3.1 to 4.6 GHz;Socket 4677;10 nm;26.25 MB;175 W;Feb 15th, 2023;Intel
Xeon w5-2455X;/cpu-specs/xeon-w5-2455x.c3116;Sapphire Rapids;12  / 24;3.2 to 4.6 GHz;Socket 4677;10 nm;30 MB;200 W;Feb 15th, 2023;Intel
Xeon w5-2465X;/cpu-specs/xeon-w5-2465x.c3115;Sapphire Rapids;16  / 32;3.1 to 4.7 GHz;Socket 4677;10 nm;33.75 MB;200 W;Feb 15th, 2023;Intel
Xeon w5-3425;/cpu-specs/xeon-w5-3425.c3112;Sapphire Rapids;12  / 24;3.2 to 4.6 GHz;Socket 4677;10 nm;30 MB;270 W;Feb 15th, 2023;Intel
Xeon w5-3435X;/cpu-specs/xeon-w5-3435x.c3111;Sapphire Rapids;16  / 32;3.1 to 4.7 GHz;Socket 4677;10 nm;45 MB;270 W;Feb 15th, 2023;Intel
Xeon w7-2475X;/cpu-specs/xeon-w7-2475x.c3114;Sapphire Rapids;20  / 40;2.6 to 4.8 GHz;Socket 4677;10 nm;37.5 MB;225 W;Feb 15th, 2023;Intel
Xeon w7-2495X;/cpu-specs/xeon-w7-2495x.c3113;Sapphire Rapids;24  / 48;2.5 to 4.8 GHz;Socket 4677;10 nm;45 MB;225 W;Feb 15th, 2023;Intel
Xeon w7-3445;/cpu-specs/xeon-w7-3445.c3110;Sapphire Rapids;20  / 40;2.5 to 4.8 GHz;Socket 4677;10 nm;52.5 MB;270 W;Feb 15th, 2023;Intel
Xeon w7-3455;/cpu-specs/xeon-w7-3455.c3109;Sapphire Rapids;24  / 48;2.5 to 4.8 GHz;Socket 4677;10 nm;67.5 MB;270 W;Feb 15th, 2023;Intel
Xeon w7-3465X;/cpu-specs/xeon-w7-3465x.c3108;Sapphire Rapids;28  / 56;2.5 to 4.8 GHz;Socket 4677;10 nm;75 MB;300 W;Feb 15th, 2023;Intel
Xeon w7-3545;/cpu-specs/xeon-w7-3545.c3805;Sapphire Rapids;24  / 48;2.7 to 4.8 GHz;Socket 4677;10 nm;67.5 MB;310 W;Aug 24th, 2023;Intel
Xeon w9-3475X;/cpu-specs/xeon-w9-3475x.c3107;Sapphire Rapids;36  / 72;2.2 to 4.8 GHz;Socket 4677;10 nm;82.5 MB;300 W;Feb 15th, 2023;Intel
Xeon w9-3495X;/cpu-specs/xeon-w9-3495x.c3106;Sapphire Rapids;56  / 112;1.9 to 4.8 GHz;Socket 4677;10 nm;105 MB;350 W;Feb 15th, 2023;Intel
Xeon D-2899NT;/cpu-specs/xeon-d-2899nt.c3879;Ice Lake-D;22  / 44;2.2 to 3.1 GHz;BGA 2579;10 nm;30 MB;135 W;Dec 14th, 2023;Intel
Xeon Bronze 3408U;/cpu-specs/xeon-bronze-3408u.c3170;Sapphire Rapids;8 ;1800 to 1900 MHz;Socket 4677;10 nm;22.5 MB;125 W;Jan 10th, 2023;Intel
Xeon Silver 3508U;/cpu-specs/xeon-silver-3508u.c3499;Sapphire Rapids;8  / 16;2.1 to 2.2 GHz;Socket 4677;10 nm;22.5 MB;125 W;Dec 14th, 2023;Intel
Xeon Silver 4410T;/cpu-specs/xeon-silver-4410t.c3169;Sapphire Rapids;10  / 20;2.7 to 4 GHz;Socket 4677;10 nm;26.25 MB;150 W;Jan 10th, 2023;Intel
Xeon Silver 4410Y;/cpu-specs/xeon-silver-4410y.c3168;Sapphire Rapids;12  / 24;2 to 3.9 GHz;Socket 4677;10 nm;30 MB;150 W;Jan 10th, 2023;Intel
Xeon Silver 4416+;/cpu-specs/xeon-silver-4416.c3167;Sapphire Rapids;20  / 40;2 to 3.9 GHz;Socket 4677;10 nm;37.5 MB;165 W;Jan 10th, 2023;Intel
Xeon Silver 4509Y;/cpu-specs/xeon-silver-4509y.c3497;Sapphire Rapids;8  / 16;2.6 to 4.1 GHz;Socket 4677;10 nm;22.5 MB;125 W;Dec 14th, 2023;Intel
Xeon Silver 4510;/cpu-specs/xeon-silver-4510.c3496;Sapphire Rapids;12  / 24;2.4 to 4.1 GHz;Socket 4677;10 nm;30 MB;150 W;Dec 14th, 2023;Intel
Xeon Silver 4510T;/cpu-specs/xeon-silver-4510t.c3498;Sapphire Rapids;12  / 24;2 to 3.7 GHz;Socket 4677;10 nm;30 MB;115 W;Dec 14th, 2023;Intel
Xeon Silver 4514Y;/cpu-specs/xeon-silver-4514y.c3495;Emerald Rapids;16  / 32;2 to 3.4 GHz;Socket 4677;10 nm;30 MB;150 W;Dec 14th, 2023;Intel
Xeon Silver 4516Y+;/cpu-specs/xeon-silver-4516y.c3494;Emerald Rapids;24  / 48;2.2 to 3.7 GHz;Socket 4677;10 nm;45 MB;185 W;Dec 14th, 2023;Intel
Xeon Gold 5411N;/cpu-specs/xeon-gold-5411n.c3152;Sapphire Rapids;28  / 56;1.9 to 3.9 GHz;Socket 4677;10 nm;45 MB;165 W;Jan 10th, 2023;Intel
Xeon Gold 5412U;/cpu-specs/xeon-gold-5412u.c3153;Sapphire Rapids;24  / 48;2.1 to 3.9 GHz;Socket 4677;10 nm;45 MB;185 W;Jan 10th, 2023;Intel
Xeon Gold 5415+;/cpu-specs/xeon-gold-5415.c3164;Sapphire Rapids;8  / 16;2.9 to 4.1 GHz;Socket 4677;10 nm;22.5 MB;150 W;Jan 10th, 2023;Intel
Xeon Gold 5416S;/cpu-specs/xeon-gold-5416s.c3161;Sapphire Rapids;16  / 32;2 to 4 GHz;Socket 4677;10 nm;30 MB;150 W;Jan 10th, 2023;Intel
Xeon Gold 5418N;/cpu-specs/xeon-gold-5418n.c3154;Sapphire Rapids;24  / 48;1.8 to 3.8 GHz;Socket 4677;10 nm;45 MB;165 W;Jan 10th, 2023;Intel
Xeon Gold 5418Y;/cpu-specs/xeon-gold-5418y.c3155;Sapphire Rapids;24  / 48;2 to 3.8 GHz;Socket 4677;10 nm;45 MB;185 W;Jan 10th, 2023;Intel
Xeon Gold 5420+;/cpu-specs/xeon-gold-5420.c3151;Sapphire Rapids;28  / 56;2 to 4.1 GHz;Socket 4677;10 nm;52.5 MB;205 W;Jan 10th, 2023;Intel
Xeon Gold 5423N;/cpu-specs/xeon-gold-5423n.c3158;Sapphire Rapids;20  / 40;2.1 to 4 GHz;Socket 4677;10 nm;37.5 MB;145 W;Jan 10th, 2023;Intel
Xeon Gold 5433N;/cpu-specs/xeon-gold-5433n.c3159;Sapphire Rapids;20  / 40;2.3 to 4.1 GHz;Socket 4677;10 nm;37.5 MB;160 W;Jan 10th, 2023;Intel
Xeon Gold 5512U;/cpu-specs/xeon-gold-5512u.c3428;Emerald Rapids;28  / 56;2.1 to 3.7 GHz;Socket 4677;10 nm;52.5 MB;185 W;Dec 14th, 2023;Intel
Xeon Gold 5515+;/cpu-specs/xeon-gold-5515.c3427;Emerald Rapids;8  / 16;3.2 to 4.1 GHz;Socket 4677;10 nm;22.5 MB;165 W;Dec 14th, 2023;Intel
Xeon Gold 5520+;/cpu-specs/xeon-gold-5520.c3426;Emerald Rapids;28  / 56;2.2 to 4 GHz;Socket 4677;10 nm;52.5 MB;205 W;Dec 14th, 2023;Intel
Xeon Gold 6414U;/cpu-specs/xeon-gold-6414u.c3140;Sapphire Rapids;32  / 64;2 to 3.4 GHz;Socket 4677;10 nm;60 MB;250 W;Jan 10th, 2023;Intel
Xeon Gold 6416H;/cpu-specs/xeon-gold-6416h.c3160;Sapphire Rapids;18  / 36;2.2 to 4.2 GHz;Socket 4677;10 nm;45 MB;165 W;Jan 10th, 2023;Intel
Xeon Gold 6418H;/cpu-specs/xeon-gold-6418h.c3156;Sapphire Rapids;24  / 48;2.1 to 4 GHz;Socket 4677;10 nm;60 MB;185 W;Jan 10th, 2023;Intel
Xeon Gold 6421N;/cpu-specs/xeon-gold-6421n.c3141;Sapphire Rapids;32  / 64;1.8 to 3.6 GHz;Socket 4677;10 nm;60 MB;185 W;Jan 10th, 2023;Intel
Xeon Gold 6426Y;/cpu-specs/xeon-gold-6426y.c3162;Sapphire Rapids;16  / 32;2.5 to 4.1 GHz;Socket 4677;10 nm;37.5 MB;185 W;Jan 10th, 2023;Intel
Xeon Gold 6428N;/cpu-specs/xeon-gold-6428n.c3142;Sapphire Rapids;32  / 64;1.8 to 3.8 GHz;Socket 4677;10 nm;60 MB;185 W;Jan 10th, 2023;Intel
Xeon Gold 6430;/cpu-specs/xeon-gold-6430.c3143;Sapphire Rapids;32  / 64;2.1 to 3.4 GHz;Socket 4677;10 nm;60 MB;270 W;Jan 10th, 2023;Intel
Xeon Gold 6434;/cpu-specs/xeon-gold-6434.c3165;Sapphire Rapids;8  / 16;3.7 to 4.1 GHz;Socket 4677;10 nm;22.5 MB;195 W;Jan 10th, 2023;Intel
Xeon Gold 6434H;/cpu-specs/xeon-gold-6434h.c3166;Sapphire Rapids;8  / 16;3.7 to 4.1 GHz;Socket 4677;10 nm;22.5 MB;195 W;Jan 10th, 2023;Intel
Xeon Gold 6438M;/cpu-specs/xeon-gold-6438m.c3144;Sapphire Rapids;32  / 64;2.2 to 3.9 GHz;Socket 4677;10 nm;60 MB;205 W;Jan 10th, 2023;Intel
Xeon Gold 6438N;/cpu-specs/xeon-gold-6438n.c3145;Sapphire Rapids;32  / 64;2 to 3.6 GHz;Socket 4677;10 nm;60 MB;205 W;Jan 10th, 2023;Intel
Xeon Gold 6438Y+;/cpu-specs/xeon-gold-6438y.c3146;Sapphire Rapids;32  / 64;2 to 4 GHz;Socket 4677;10 nm;60 MB;205 W;Jan 10th, 2023;Intel
Xeon Gold 6442Y;/cpu-specs/xeon-gold-6442y.c3157;Sapphire Rapids;24  / 48;2.6 to 4 GHz;Socket 4677;10 nm;60 MB;225 W;Jan 10th, 2023;Intel
Xeon Gold 6444Y;/cpu-specs/xeon-gold-6444y.c3163;Sapphire Rapids;16  / 32;3.6 to 4 GHz;Socket 4677;10 nm;45 MB;270 W;Jan 10th, 2023;Intel
Xeon Gold 6448H;/cpu-specs/xeon-gold-6448h.c3147;Sapphire Rapids;32  / 64;2.4 to 4.1 GHz;Socket 4677;10 nm;60 MB;250 W;Jan 10th, 2023;Intel
Xeon Gold 6448Y;/cpu-specs/xeon-gold-6448y.c3148;Sapphire Rapids;32  / 64;2.1 to 4.1 GHz;Socket 4677;10 nm;60 MB;225 W;Jan 10th, 2023;Intel
Xeon Gold 6454S;/cpu-specs/xeon-gold-6454s.c3149;Sapphire Rapids;32  / 64;2.2 to 3.4 GHz;Socket 4677;10 nm;60 MB;270 W;Jan 10th, 2023;Intel
Xeon Gold 6458Q;/cpu-specs/xeon-gold-6458q.c3150;Sapphire Rapids;32  / 64;3.1 to 4 GHz;Socket 4677;10 nm;60 MB;350 W;Jan 10th, 2023;Intel
Xeon Gold 6526Y;/cpu-specs/xeon-gold-6526y.c3423;Emerald Rapids;16  / 32;2.8 to 3.9 GHz;Socket 4677;10 nm;37.5 MB;195 W;Dec 14th, 2023;Intel
Xeon Gold 6530;/cpu-specs/xeon-gold-6530.c3425;Emerald Rapids;32  / 64;2.1 to 4 GHz;Socket 4677;10 nm;160 MB;270 W;Dec 14th, 2023;Intel
Xeon Gold 6534;/cpu-specs/xeon-gold-6534.c3424;Emerald Rapids;8  / 16;3.9 to 4.2 GHz;Socket 4677;10 nm;22.5 MB;195 W;Dec 14th, 2023;Intel
Xeon Gold 6538N;/cpu-specs/xeon-gold-6538n.c3431;Emerald Rapids;32  / 64;2.1 to 4.1 GHz;Socket 4677;10 nm;60 MB;205 W;Dec 14th, 2023;Intel
Xeon Gold 6542Y;/cpu-specs/xeon-gold-6542y.c3421;Emerald Rapids;24  / 48;2.9 to 4.1 GHz;Socket 4677;10 nm;60 MB;250 W;Dec 14th, 2023;Intel
Xeon Gold 6544Y;/cpu-specs/xeon-gold-6544y.c3422;Emerald Rapids;16  / 32;3.6 to 4.1 GHz;Socket 4677;10 nm;45 MB;270 W;Dec 14th, 2023;Intel
Xeon Gold 6548N;/cpu-specs/xeon-gold-6548n.c3430;Emerald Rapids;32  / 64;2.8 to 4.1 GHz;Socket 4677;10 nm;60 MB;270 W;Dec 14th, 2023;Intel
Xeon Gold 6548Y+;/cpu-specs/xeon-gold-6548y.c3420;Emerald Rapids;32  / 64;2.5 to 4.1 GHz;Socket 4677;10 nm;60 MB;250 W;Dec 14th, 2023;Intel
Xeon Gold 6554S;/cpu-specs/xeon-gold-6554s.c3432;Emerald Rapids;36  / 72;2.2 to 4 GHz;Socket 4677;10 nm;180 MB;270 W;Dec 14th, 2023;Intel
Xeon Platinum 8444H;/cpu-specs/xeon-platinum-8444h.c3139;Sapphire Rapids;16  / 32;2.9 to 4 GHz;Socket 4677;10 nm;45 MB;270 W;Jan 10th, 2023;Intel
Xeon Platinum 8450H;/cpu-specs/xeon-platinum-8450h.c3138;Sapphire Rapids;28  / 56;2 to 3.5 GHz;Socket 4677;10 nm;75 MB;250 W;Jan 10th, 2023;Intel
Xeon Platinum 8452Y;/cpu-specs/xeon-platinum-8452y.c3135;Sapphire Rapids;36  / 72;2 to 3.8 GHz;Socket 4677;10 nm;67.5 MB;300 W;Jan 10th, 2023;Intel
Xeon Platinum 8454H;/cpu-specs/xeon-platinum-8454h.c3136;Sapphire Rapids;32  / 64;2.1 to 3.4 GHz;Socket 4677;10 nm;82.5 MB;270 W;Jan 10th, 2023;Intel
Xeon Platinum 8458P;/cpu-specs/xeon-platinum-8458p.c3133;Sapphire Rapids;44  / 88;2.7 to 3.8 GHz;Socket 4677;10 nm;82.5 MB;350 W;Jan 10th, 2023;Intel
Xeon Platinum 8460H;/cpu-specs/xeon-platinum-8460h.c3134;Sapphire Rapids;40  / 80;2.2 to 3.8 GHz;Socket 4677;10 nm;105 MB;330 W;Jan 10th, 2023;Intel
Xeon Platinum 8460Y+;/cpu-specs/xeon-platinum-8460y.c3095;Sapphire Rapids;40  / 80;2 to 3.7 GHz;Socket 4677;10 nm;105 MB;300 W;Jan 10th, 2023;Intel
Xeon Platinum 8461V;/cpu-specs/xeon-platinum-8461v.c3093;Sapphire Rapids;48  / 96;2.2 to 3.7 GHz;Socket 4677;10 nm;97.5 MB;300 W;Jan 10th, 2023;Intel
Xeon Platinum 8462Y+;/cpu-specs/xeon-platinum-8462y.c3137;Sapphire Rapids;32  / 64;2.8 to 4.1 GHz;Socket 4677;10 nm;60 MB;300 W;Jan 10th, 2023;Intel
Xeon Platinum 8468;/cpu-specs/xeon-platinum-8468.c3094;Sapphire Rapids;48  / 96;2.1 to 3.8 GHz;Socket 4677;10 nm;105 MB;350 W;Jan 10th, 2023;Intel
Xeon Platinum 8468H;/cpu-specs/xeon-platinum-8468h.c3131;Sapphire Rapids;48  / 96;2.1 to 3.8 GHz;Socket 4677;10 nm;105 MB;330 W;Jan 10th, 2023;Intel
Xeon Platinum 8468V;/cpu-specs/xeon-platinum-8468v.c3132;Sapphire Rapids;48  / 96;2.4 to 3.8 GHz;Socket 4677;10 nm;97.5 MB;330 W;Jan 10th, 2023;Intel
Xeon Platinum 8470;/cpu-specs/xeon-platinum-8470.c3089;Sapphire Rapids;52  / 104;2 to 3.8 GHz;Socket 4677;10 nm;105 MB;350 W;Jan 10th, 2023;Intel
Xeon Platinum 8470N;/cpu-specs/xeon-platinum-8470n.c3090;Sapphire Rapids;52  / 104;1.7 to 3.6 GHz;Socket 4677;10 nm;97.5 MB;300 W;Jan 10th, 2023;Intel
Xeon Platinum 8470Q;/cpu-specs/xeon-platinum-8470q.c3091;Sapphire Rapids;52  / 104;2.1 to 3.8 GHz;Socket 4677;10 nm;105 MB;350 W;Jan 10th, 2023;Intel
Xeon Platinum 8471N;/cpu-specs/xeon-platinum-8471n.c3092;Sapphire Rapids;52  / 104;1.8 to 3.6 GHz;Socket 4677;10 nm;97.5 MB;300 W;Jan 10th, 2023;Intel
Xeon Platinum 8480+;/cpu-specs/xeon-platinum-8480.c2958;Sapphire Rapids;56  / 112;2 to 3.8 GHz;Socket 4677;10 nm;105 MB;350 W;Jan 10th, 2023;Intel
Xeon Platinum 8490H;/cpu-specs/xeon-platinum-8490h.c2942;Sapphire Rapids;60  / 120;1.9 to 3.5 GHz;Socket 4677;10 nm;112.5 MB;350 W;Jan 10th, 2023;Intel
Xeon Platinum 8558;/cpu-specs/xeon-platinum-8558.c3413;Emerald Rapids;48  / 96;2.1 to 4 GHz;Socket 4677;10 nm;260 MB;330 W;Dec 14th, 2023;Intel
Xeon Platinum 8558P;/cpu-specs/xeon-platinum-8558p.c3414;Emerald Rapids;48  / 96;2.7 to 4 GHz;Socket 4677;10 nm;260 MB;350 W;Dec 14th, 2023;Intel
Xeon Platinum 8558U;/cpu-specs/xeon-platinum-8558u.c3415;Emerald Rapids;48  / 96;2 to 4 GHz;Socket 4677;10 nm;260 MB;300 W;Dec 14th, 2023;Intel
Xeon Platinum 8562Y+;/cpu-specs/xeon-platinum-8562y.c3412;Emerald Rapids;32  / 64;2.8 to 4.1 GHz;Socket 4677;10 nm;60 MB;300 W;Dec 14th, 2023;Intel
Xeon Platinum 8568Y+;/cpu-specs/xeon-platinum-8568y.c3411;Emerald Rapids;48  / 96;2.3 to 4 GHz;Socket 4677;10 nm;300 MB;350 W;Dec 14th, 2023;Intel
Xeon Platinum 8570;/cpu-specs/xeon-platinum-8570.c3410;Emerald Rapids;56  / 112;2.1 to 4 GHz;Socket 4677;10 nm;300 MB;350 W;Dec 14th, 2023;Intel
Xeon Platinum 8571N;/cpu-specs/xeon-platinum-8571n.c3429;Emerald Rapids;52  / 104;2.4 to 4 GHz;Socket 4677;10 nm;300 MB;300 W;Dec 14th, 2023;Intel
Xeon Platinum 8580;/cpu-specs/xeon-platinum-8580.c3409;Emerald Rapids;60  / 120;2 to 4 GHz;Socket 4677;10 nm;300 MB;350 W;Dec 14th, 2023;Intel
Xeon Platinum 8581V;/cpu-specs/xeon-platinum-8581v.c3418;Emerald Rapids;64  / 128;2 to 3.9 GHz;Socket 4677;10 nm;300 MB;270 W;Dec 14th, 2023;Intel
Xeon Platinum 8592+;/cpu-specs/xeon-platinum-8592.c3408;Emerald Rapids;64  / 128;1.9 to 3.9 GHz;Socket 4677;10 nm;320 MB;350 W;Dec 14th, 2023;Intel
Xeon Platinum 8592V;/cpu-specs/xeon-platinum-8592v.c3417;Emerald Rapids;64  / 128;2 to 3.9 GHz;Socket 4677;10 nm;320 MB;330 W;Dec 14th, 2023;Intel
Xeon Platinum 8593Q;/cpu-specs/xeon-platinum-8593q.c3416;Emerald Rapids;64  / 128;2.2 to 3.9 GHz;Socket 4677;10 nm;320 MB;385 W;Dec 14th, 2023;Intel
Xeon Max 9460;/cpu-specs/xeon-max-9460.c3087;Sapphire Rapids HBM;40  / 80;2.2 to 3.5 GHz;Socket 4677;10 nm;97.5 MB;350 W;Jan 10th, 2023;Intel
Xeon Max 9462;/cpu-specs/xeon-max-9462.c3088;Sapphire Rapids HBM;32  / 64;2.7 to 3.5 GHz;Socket 4677;10 nm;75 MB;350 W;Jan 10th, 2023;Intel
Xeon Max 9468;/cpu-specs/xeon-max-9468.c3086;Sapphire Rapids HBM;48  / 96;2.1 to 3.5 GHz;Socket 4677;10 nm;105 MB;350 W;Jan 10th, 2023;Intel
Xeon Max 9470;/cpu-specs/xeon-max-9470.c3085;Sapphire Rapids HBM;52  / 104;2 to 3.5 GHz;Socket 4677;10 nm;105 MB;350 W;Jan 10th, 2023;Intel
Xeon Max 9480;/cpu-specs/xeon-max-9480.c3084;Sapphire Rapids HBM;56  / 112;1.9 to 3.5 GHz;Socket 4677;10 nm;112.5 MB;350 W;Jan 10th, 2023;Intel
Athlon Gold 7220U;/cpu-specs/athlon-gold-7220u.c3044;Mendocino;2  / 4;2.4 to 3.7 GHz;Socket FP6;6 nm;4 MB;15 W;Sep 20th, 2022;AMD
Athlon Silver 7120U;/cpu-specs/athlon-silver-7120u.c3043;Mendocino;2 ;2.4 to 3.5 GHz;Socket FP6;6 nm;2 MB;15 W;Sep 20th, 2022;AMD
EPYC 7373X;/cpu-specs/epyc-7373x.c2762;Milan-X;16  / 32;3.05 to 3.8 GHz;Socket SP3;7 nm;768 MB;240 W;Mar 22nd, 2022;AMD
EPYC 7473X;/cpu-specs/epyc-7473x.c2761;Milan-X;24  / 48;2.8 to 3.7 GHz;Socket SP3;7 nm;768 MB;240 W;Mar 22nd, 2022;AMD
EPYC 7573X;/cpu-specs/epyc-7573x.c2760;Milan-X;32  / 64;2.8 to 3.6 GHz;Socket SP3;7 nm;768 MB;280 W;Mar 22nd, 2022;AMD
EPYC 7773X;/cpu-specs/epyc-7773x.c2759;Milan-X;64  / 128;2.2 to 3.5 GHz;Socket SP3;7 nm;768 MB;280 W;Mar 22nd, 2022;AMD
EPYC 9124;/cpu-specs/epyc-9124.c2917;Genoa;16  / 32;3 to 3.7 GHz;Socket SP5;5 nm;64 MB;200 W;Nov 10th, 2022;AMD
EPYC 9174F;/cpu-specs/epyc-9174f.c2918;Genoa;16  / 32;4.1 to 4.4 GHz;Socket SP5;5 nm;256 MB;320 W;Nov 10th, 2022;AMD
EPYC 9224;/cpu-specs/epyc-9224.c2919;Genoa;24  / 48;2.5 to 3.7 GHz;Socket SP5;5 nm;64 MB;200 W;Nov 10th, 2022;AMD
